1372,B243,1463
1361,cc01-b/w,22
1361,CC01-blw,2208
1361,CC02,3495
1361,CC10,4217
1361,CC50,8160
1361,CC60,14535
1361,CM010,3605
1361,CM012,2201
1361,CT077,2400
1361,DC073,261
1361,DC076,261
1361,DC081,261
1361,DC108,63634
1361,DC114,1790
1361,DC115,1790
1361,DC116,1895
1361,DC117,1790
1361,Dc119,1790
1361,DC279,1790
1361,DC283,1270
1361,DC284,2276
1361,DC285,1679
1361,DC286,2719
1361,DC287,1722
1361,DC288,2795
1361,DC289,1722
1361,DC290,2795
1361,DC291,1722
1361,DC292,2795
1361,DCDC25,244
1361,DCYB25,254
1361,DT117-box,2988
1361,PDL15,338
1362,CM010,3605
1362,CM012,2201
1362,DC073,261
1362,DC076,261
1362,DC081,261
1362,DC108,63634
1362,DC279,1790
1362,DC283,1270
1362,DC284,2276
1362,DC285,1679
1362,DC286,2719
1362,DC287,1722
1362,DC288,2795
1362,DC289,1722
1362,DC290,2795
1362,DC291,1722
1362,DC292,2795
1362,DCDC25,244
1362,DCYB25,254
1362,PDL15,338
1363,CM010,3605
1363,CM012,2201
1363,DC073,261
1363,DC076,261
1363,DC081,261
1363,DC108,63634
1363,DC279,1790
1363,DC283,1270
1363,DC284,2276
1363,DC285,1679
1363,DC286,2719
1363,DC287,1722
1363,DC288,2795
1363,DC289,1722
1363,DC290,2795
1363,DC291,1722
1363,DC292,2795
1363,DCDC25,244
1363,DCYB25,254
1363,PDL15,338
1364,CM010,3605
1364,CM012,2201
1364,DC073,261
1364,DC076,261
1364,DC081,261
1364,DC108,63634
1364,DC279,1790
1364,DC283,1270
1364,DC284,2276
1364,DC285,1679
1364,DC286,2719
1364,DC287,1722
1364,DC288,2795
1364,DC289,1722
1364,DC290,2795
1364,DC291,1722
1364,DC292,2795
1364,DCDC25,244
1364,DCYB25,254
1364,PDL15,338
1365,CM010,3605
1365,CM012,2201
1365,DC073,261
1365,DC076,261
1365,DC081,261
1365,DC108,63634
1365,DC279,1790
1365,DC283,1270
1365,DC284,2276
1365,DC285,1679
1365,DC286,2719
1365,DC287,1722
1365,DC288,2795
1365,DC289,1722
1365,DC290,2795
1365,DC291,1722
1365,DC292,2795
1365,DCDC25,244
1365,DCYB25,254
1365,PDL15,338
1366,CM010,3605
1366,CM012,2201
1366,DC073,261
1366,DC076,261
1366,DC081,261
1366,DC108,63634
1366,DC279,1790
1366,DC283,1270
1366,DC284,2276
1366,DC285,1679
1366,DC286,2719
1366,DC287,1722
1366,DC288,2795
1366,DC289,1722
1366,DC290,2795
1366,DC291,1722
1366,DC292,2795
1366,DCDC25,244
1366,DCYB25,254
1366,PDL15,338
1372,B314-blu,1330
1372,CT077,2790
1372,DB107-lge,2093
1372,DB107-med,1729
1372,DB107-set,4830
1372,DB107-sml,1358
1372,DB108-lge,2093
1372,DB108-med,1729
1372,DB108-set,4830
1372,DB108-sml,1358
1372,DC073,261
1372,DC076,261
1372,DC081,261
1372,DC108,63634
1372,DC114,1902
1372,DC115,1902
1372,DC116,1902
1372,DC117,1902
1372,DC279,1902
1372,DC283,1270
1372,DC284,2276
1372,DC285,1679
1372,DC286,2719
1372,DC287,1722
1372,DC288,2795
1372,DC289,1722
1372,DC290,2795
1372,DC291,1722
1372,DC292,2795
1372,DCDC25,244
1372,DCYB25,254
1372,DT147,5530
1372,GR52,3278
1372,LC892-blk,520
1372,LC892-blu,520
1372,LC892-pur,520
1372,LC892-red,520
1372,PDL15,338
1377,PDL01,1800
1378,PDL01,1800
1379,PDL01,1800
1398,PDL01,1700
1401,PDL01,1500
1427,PDLP02,8700
1435,PDL01,2000
1435,PDL05,8500
1453,PDL01,1800
1454,PDL01,2200
1486,DT139,600
1488,PDL01,2000
1490,PDL01,1800
1501,PDL01,2000
1512,PDL01,2000
1524,PDL01,2000
1534,PDL01,1690
1553,PDL01,2195
1556,PDL01,1500
1574,PDL01,1600
1595,PDL01,2000
1606,PDL01,1800
1608,PDL01,2000
1608,PDL05,9000
1613,PDL01,2000
1620,PDL01,1900
1630,PDL01,1800
1640,PDL01,1800
1641,PDL01,1500
1648,CT028-blu,731
1648,CT028-red,731
1648,CVR03,1550
1649,CVR03,1550
1650,CT028-blu,731
1650,CT028-red,731
1650,CVR03,1550
1651,CT028-blu,731
1651,CT028-red,731
1651,CVR03,1550
1655,PDL01,1600
1663,PDL01,2000
1665,PDL01,1600
1666,PDL01,1600
1674,PDL01,2000
1677,PDL01,1800
1678,PDL01,1800
1685,CT013,2040
1685,CT028-blu,950
1685,CT028-red,950
1691,PDL01,2000
1699,PDL01,2000
1716,PDL01,1500
1809,PDL01,1800
1812,PDL01,1690
1820,PDL01,1500
1820,PDL05,7500
1820,PDL10,15000
1856,PDL01,2000
1871,PDL01,1800
1875,PDL01,1800
1897,DB031,280
1897,DB032,320
1897,db033,383
1897,DBSRSMIN,1100
1897,DBSRSSML,1200
1897,DC200,860
1897,DC203,1505
1897,DC204,2258
1897,DC211,1209
1897,DC212,1333
1897,DC213,1064
1897,DC214,2096
1897,DT027,275
1897,DT101,200
1897,DT139,664
1897,DT148,200
1897,MATSDSML-xxx,897
1899,PDL01,1900
1906,PDL01,1700
1922,PDL01,2000
1923,PDL01,1700
1924,PDL01,1800
2586,CC60,16587
2586,CT028-blu,1032
2586,CT028-red,1032
2586,DC200,871
2586,DC201,855
2586,DC202,1419
2586,DC203,1215
2586,DC204,1785
2586,DC205,2827
2586,DC210,591
2586,DC211,903
2586,DC212,1372
2586,DC213,1397
2586,DC214,2213
2586,DC215,2451
2586,DC220,816
2586,DC221,816
2586,DC222,816
2586,DC225,1768
2586,DC226,2145
2586,DC240,1344
2586,DC241,1344
2586,DC242,1344
2586,DC243,1344
2598,CC60,16587
2598,CT028-blu,1032
2598,CT028-red,1032
2598,DC200,871
2598,DC201,855
2598,DC202,1419
2598,DC203,1215
2598,DC204,1785
2598,DC205,2827
2598,DC210,591
2598,DC211,903
2598,DC212,1372
2598,DC213,1397
2598,DC214,2213
2598,DC215,2451
2598,DC220,816
2598,DC221,816
2598,DC222,816
2598,DC225,1768
2598,DC226,2145
2598,DC240,1344
2598,DC241,1344
2598,DC242,1344
2598,DC243,1344
2610,PDL01,1800
2622,CC01-blw,2990
2622,CC02,3949
2622,CC03,2015
2622,CC10,4277
2622,CC50,7800
2622,CC60,11700
2622,CC70,15600
2635,CC60,16587
2635,CT028-blu,1032
2635,CT028-red,1032
2635,DC200,871
2635,DC201,855
2635,DC202,1419
2635,DC203,1215
2635,DC204,1785
2635,DC205,2827
2635,DC210,591
2635,DC211,903
2635,DC212,1372
2635,DC213,1397
2635,DC214,2213
2635,DC215,2451
2635,DC220,816
2635,DC221,816
2635,DC222,816
2635,DC225,1768
2635,DC226,2145
2635,DC240,1344
2635,DC241,1344
2635,DC242,1344
2635,DC243,1344
2673,CC60,16587
2673,CT028-blu,1032
2673,CT028-red,1032
2673,DC200,871
2673,DC201,855
2673,DC202,1419
2673,DC203,1215
2673,DC204,1785
2673,DC205,2827
2673,DC210,591
2673,DC211,903
2673,DC212,1372
2673,DC213,1397
2673,DC214,2213
2673,DC215,2451
2673,DC220,816
2673,DC221,816
2673,DC222,816
2673,DC225,1768
2673,DC226,2145
2673,DC240,1344
2673,DC241,1344
2673,DC242,1344
2673,DC243,1344
2677,PDL01,1900
2688,CC60,16587
2688,CT028-blu,1032
2688,CT028-red,1032
2688,DC200,871
2688,DC201,855
2688,DC202,1419
2688,DC203,1215
2688,DC204,1785
2688,DC205,2827
2688,DC210,591
2688,DC211,903
2688,DC212,1372
2688,DC213,1397
2688,DC214,2213
2688,DC215,2451
2688,DC220,816
2688,DC221,816
2688,DC222,816
2688,DC225,1768
2688,DC226,2145
2688,DC240,1344
2688,DC241,1344
2688,DC242,1344
2688,DC243,1344
2701,CC60,16587
2701,CT028-blu,1032
2701,CT028-red,1032
2701,DC200,871
2701,DC201,855
2701,DC202,1419
2701,DC203,1215
2701,DC204,1785
2701,DC205,2827
2701,DC210,591
2701,DC211,903
2701,DC212,1372
2701,DC213,1397
2701,DC214,2213
2701,DC215,2451
2701,DC220,816
2701,DC221,816
2701,DC222,816
2701,DC225,1768
2701,DC226,2145
2701,DC240,1344
2701,DC241,1344
2701,DC242,1344
2701,DC243,1344
2980,CC60,16587
2980,CT028-blu,1032
2980,CT028-red,1032
2980,DC200,871
2980,DC201,855
2980,DC202,1419
2980,DC203,1215
2980,DC204,1785
2980,DC205,2827
2980,DC210,591
2980,DC211,903
2980,DC212,1372
2980,DC213,1397
2980,DC214,2213
2980,DC215,2451
2980,DC220,816
2980,DC221,816
2980,DC222,816
2980,DC225,1768
2980,DC226,2145
2980,DC240,1344
2980,DC241,1344
2980,DC242,1344
2980,DC243,1344
